date,visitors,pageviews,sessions,bounced_sessions,avg_session_duration_secs,awards_week,awards_night
2017-09-06,6691,10706,7050,3772,90,0,0
2017-09-07,6152,10516,6529,3719,96,0,0
2017-09-08,5709,9391,5984,3453,88,0,0
2017-09-09,5336,8745,5682,3173,87,0,0
2017-09-10,5072,8731,5363,3004,94,0,0
2017-09-11,5659,9635,5974,3425,97,0,0
2017-09-12,8168,12415,8574,4649,76,0,0
2017-09-13,11927,17765,13596,5696,71,0,0
2017-09-14,9411,14138,10376,4925,72,0,0
2017-09-15,7285,11905,7861,4238,84,0,0
2017-09-16,6909,11067,7454,3800,77,0,0
2017-09-17,8802,14027,9378,4935,77,0,0
2017-09-18,9052,14818,9587,5133,82,0,0
2017-09-19,9180,16371,9803,5451,83,0,0
2017-09-20,7399,12125,7840,4342,84,0,0
2017-09-21,11407,18665,13165,6009,98,0,0
2017-09-22,6924,15042,7387,2739,79,0,0
2017-09-23,5928,12882,6266,2328,84,0,0
2017-09-24,6314,14187,6671,2139,82,0,0
2017-09-25,8801,19678,9717,2513,84,0,0
2017-09-26,10965,25433,11990,3303,91,0,0
2017-09-27,9788,22289,10700,2883,81,0,0
2017-09-28,9407,21335,10009,2708,82,0,0
2017-09-29,7889,17578,8401,2584,89,0,0
2017-09-30,8455,19058,8988,2439,86,0,0
2017-10-01,7768,16586,8196,3270,82,0,0
2017-10-02,8447,18685,8908,3067,81,0,0
2017-10-03,24449,60005,26587,3558,77,0,0
2017-10-04,66639,159403,71386,6175,70,0,0
2017-10-05,18708,28073,19550,9734,72,0,0
2017-10-06,11225,17398,11956,6328,75,0,0
2017-10-07,11678,19278,12488,6241,80,0,0
2017-10-08,11632,18643,12397,6411,79,0,0
2017-10-09,11285,17693,11810,6396,84,0,0
2017-10-10,18833,31075,21732,10210,93,0,0
2017-10-11,19938,28488,21118,10648,79,0,0
2017-10-12,13867,20706,14557,7889,84,0,0
2017-10-13,10560,17176,11429,6120,89,0,0
2017-10-14,7963,12832,8544,4772,81,0,0
2017-10-15,7745,12935,8294,4681,92,0,0
2017-10-16,9728,17110,10348,5606,94,0,0
2017-10-17,14227,23347,15085,7012,96,0,0
2017-10-18,11958,19512,12498,6267,89,0,0
2017-10-19,10365,17425,11061,6002,80,0,0
2017-10-20,21571,30482,22605,7494,70,0,0
2017-10-21,15468,25629,16531,3938,78,0,0
2017-10-22,12146,20556,12851,3808,81,0,0
2017-10-23,11156,19346,11927,3914,85,0,0
2017-10-24,10320,17702,10962,3838,87,0,0
2017-10-25,11122,19449,11764,3834,83,0,0
2017-10-26,10887,18188,11510,3494,85,0,0
2017-10-27,9273,15493,9850,3356,84,0,0
2017-10-28,7669,13627,8149,4522,87,0,0
2017-10-29,8507,15074,9065,5012,91,0,0
2017-10-30,9801,16841,10331,5687,83,0,0
2017-10-31,13702,20442,14434,8629,66,0,0
2017-11-01,9577,16012,10136,5959,81,0,0
2017-11-02,9264,15316,9775,5620,86,0,0
2017-11-03,14951,21692,15654,8720,76,0,0
2017-11-04,8603,13874,9067,5077,79,0,0
2017-11-05,10050,16605,10761,5763,89,0,0
2017-11-06,9826,16315,10258,5856,83,0,0
2017-11-07,9852,17199,10464,5877,99,0,0
2017-11-08,11223,18215,11982,6788,78,0,0
2017-11-09,10185,16576,10741,6183,81,0,0
2017-11-10,20194,53728,25540,13039,125,0,0
2017-11-11,15318,30605,17480,9772,86,0,0
2017-11-12,11899,21547,12730,6927,89,0,0
2017-11-13,12323,20598,12971,7145,86,0,0
2017-11-14,14072,22197,14916,8339,74,0,0
2017-11-15,23359,33055,24581,13237,64,0,0
2017-11-16,28059,41746,29447,15145,78,0,0
2017-11-17,19892,31248,21184,11190,80,0,0
2017-11-18,12230,19518,12918,7134,78,0,0
2017-11-19,14662,24267,15558,8783,80,0,0
2017-11-20,14931,25053,15967,9094,79,0,0
2017-11-21,12791,21783,13754,7734,82,0,0
2017-11-22,12236,20360,13002,7301,79,0,0
2017-11-23,10864,18114,11592,6672,77,0,0
2017-11-24,23292,40067,24849,13981,87,0,0
2017-11-25,18064,31300,19562,11352,81,0,0
2017-11-26,18299,31854,19972,11526,80,0,0
2017-11-27,33554,59979,37230,21251,82,0,0
2017-11-28,651685,1356165,736434,393993,103,1,1
2017-11-29,151892,291230,166307,77766,94,1,0
2017-11-30,69378,130091,75856,35152,95,0,0
2017-12-01,43886,81894,47014,23037,92,0,0
2017-12-02,33267,64605,36312,17419,94,0,0
2017-12-03,30193,57946,32674,15599,97,0,0
2017-12-04,32442,57595,34667,16284,95,0,0
2017-12-05,28658,54728,30829,14484,104,0,0
2017-12-06,23004,44176,24668,12312,99,0,0
2017-12-07,19854,38197,21405,10720,101,0,0
2017-12-08,18452,35631,19933,9977,94,0,0
2017-12-09,17505,32535,18859,9285,91,0,0
2017-12-10,17192,31925,18287,9170,95,0,0
2017-12-11,20143,38096,21751,10650,90,0,0
2017-12-12,19649,35942,21042,10166,94,0,0
2017-12-13,20747,38030,22322,10599,104,0,0
2017-12-14,17891,31010,19140,9475,90,0,0
2017-12-15,18934,31789,20364,9981,87,0,0
2017-12-16,17759,29059,19142,9675,86,0,0
2017-12-17,19076,31423,20321,11657,77,0,0
2017-12-18,15658,27831,16734,8719,91,0,0
2017-12-19,16432,40908,17607,7464,102,0,0
2017-12-20,14018,35375,15251,6441,109,0,0
2017-12-21,14476,37403,15696,6467,112,0,0
2017-12-22,12812,33500,13999,5897,101,0,0
2017-12-23,13783,34410,14517,5794,98,0,0
2017-12-24,13571,33229,14474,5964,92,0,0
2017-12-25,10744,27092,11641,5055,97,0,0
2017-12-26,13080,33811,14136,6014,106,0,0
2017-12-27,17118,42281,18299,6566,105,0,0
2017-12-28,19826,47039,21136,7609,110,0,0
2017-12-29,15955,41543,17258,6741,106,0,0
2017-12-30,18568,50253,20021,7026,102,0,0
2017-12-31,45897,121293,48383,14322,69,0,0
2018-01-01,17539,46598,19083,7430,100,0,0
2018-01-02,19345,50586,20690,8452,106,0,0
2018-01-03,17934,49068,19334,7278,117,0,0
2018-01-04,25557,66914,27702,10090,109,0,0
2018-01-05,22959,58317,24544,9548,112,0,0
2018-01-06,19641,49765,21145,8634,106,0,0
2018-01-07,30527,76914,32303,12127,106,0,0
2018-01-08,28132,75583,30176,11359,113,0,0
2018-01-09,24612,67847,26838,10204,115,0,0
2018-01-10,29739,74447,32079,12479,113,0,0
2018-01-11,30146,72655,32374,12681,108,0,0
2018-01-12,23929,59126,25910,10561,112,0,0
2018-01-13,22836,56649,24808,9559,107,0,0
2018-01-14,25011,60700,27087,10776,106,0,0
2018-01-15,23562,58594,25342,9924,114,0,0
2018-01-16,27240,68125,29215,11394,113,0,0
2018-01-17,34318,94367,38031,13783,118,0,0
2018-01-18,28746,71147,31083,12396,114,0,0
2018-01-19,27819,68975,29878,11790,112,0,0
2018-01-20,27820,68689,30472,12003,106,0,0
2018-01-21,43352,105697,46839,18464,108,1,0
2018-01-22,49380,120459,53238,22621,108,1,0
2018-01-23,68206,166205,74059,29906,108,1,0
2018-01-24,68203,125934,74786,36563,98,1,0
2018-01-25,108074,188772,113915,59589,91,1,0
2018-01-26,148597,263485,162553,83520,90,1,0
2018-01-27,218441,400447,239369,115879,93,1,1
2018-01-28,1609729,5446407,1934941,612022,221,1,0
2018-01-29,727530,1841975,810777,314663,152,1,0
2018-01-30,192235,454551,210881,88760,152,1,0
2018-01-31,97311,221899,105589,46090,150,1,0
2018-02-01,71273,154508,76868,35098,137,0,0
2018-02-02,57626,121012,62334,29541,129,0,0
2018-02-03,49644,102467,53676,25921,132,0,0
2018-02-04,42646,83790,46103,22683,123,0,0
2018-02-05,33561,65429,35648,18074,127,0,0
2018-02-06,29671,58188,31942,16112,128,0,0
2018-02-07,26192,51669,28333,14456,127,0,0
2018-02-08,24574,45856,26199,13446,120,0,0
2018-02-09,22637,41945,24302,12569,114,0,0
2018-02-10,20196,37309,21866,11554,113,0,0
2018-02-11,20338,37770,21661,11446,110,0,0
2018-02-12,18409,32714,19975,10999,103,0,0
2018-02-13,19598,31984,20994,11577,99,0,0
2018-02-14,18250,28243,19391,11104,87,0,0
2018-02-15,16454,26273,17483,10062,89,0,0
2018-02-16,15437,24523,16367,9639,85,0,0
2018-02-17,14342,22603,15224,8925,81,0,0
2018-02-18,13962,22198,14881,8923,81,0,0
2018-02-19,14807,23125,15714,9831,78,0,0
2018-02-20,14557,22345,15249,9098,81,0,0
2018-02-21,15137,24313,16096,9478,89,0,0
2018-02-22,18111,27823,19264,10700,86,0,0
2018-02-23,14628,23056,15644,9082,86,0,0
2018-02-24,14230,21663,15125,8576,80,0,0
2018-02-25,15115,23188,16015,9499,77,0,0
2018-02-26,15376,23608,16312,9722,82,0,0
2018-02-27,14965,23642,15825,9437,83,0,0
2018-02-28,14252,22652,15049,8885,86,0,0
2018-03-01,14424,22484,15255,9077,83,0,0
2018-03-02,14341,21964,15224,9062,77,0,0
2018-03-03,13462,20612,14217,8485,74,0,0
2018-03-04,20413,30671,21564,13342,70,0,0
2018-03-05,17573,27105,18688,11439,75,0,0
2018-03-06,15571,23846,16543,9701,78,0,0
2018-03-07,13895,21700,14866,8974,78,0,0
2018-03-08,18045,36689,19241,7047,83,0,0
2018-03-09,16433,32319,17298,7181,78,0,0
2018-03-10,13153,19936,13967,8523,76,0,0
2018-03-11,13166,20129,13972,8420,77,0,0
2018-03-12,14960,22542,15710,9629,76,0,0
2018-03-13,12650,18902,13167,7803,81,0,0
2018-03-14,12623,18381,13029,7617,80,0,0
2018-03-15,11401,16916,11832,6980,77,0,0
2018-03-16,11065,15929,11447,6749,72,0,0
2018-03-17,10333,14987,10714,6251,77,0,0
2018-03-18,12536,17448,12801,7997,70,0,0
2018-03-19,12171,17647,12598,7467,76,0,0
2018-03-20,11870,17751,12335,7267,86,0,0
2018-03-21,11377,16460,11654,6892,79,0,0
2018-03-22,11892,17304,12215,7116,84,0,0
2018-03-23,10390,15230,10893,6398,79,0,0
2018-03-24,13761,18858,14345,7061,67,0,0
2018-03-25,11217,16236,11672,6609,76,0,0
2018-03-26,11018,16205,11400,6655,84,0,0
2018-03-27,11937,17194,12467,7199,74,0,0
2018-03-28,11564,16114,11798,6787,72,0,0
2018-03-29,10577,15037,11006,6504,78,0,0
2018-03-30,14669,19334,15052,7558,74,0,0
2018-03-31,12940,17515,13226,7426,68,0,0
2018-04-01,10324,14529,10544,6237,75,0,0
2018-04-02,10708,15752,11194,6693,78,0,0
2018-04-03,11391,16220,11647,6826,71,0,0
2018-04-04,10868,15648,11330,6699,74,0,0
2018-04-05,12621,17980,13104,8113,69,0,0
2018-04-06,14754,19798,15095,7691,71,0,0
2018-04-07,13945,18796,14281,7569,70,0,0
2018-04-08,12451,17427,12844,7350,71,0,0
2018-04-09,13034,19018,13480,7722,74,0,0
2018-04-10,24432,35926,25403,13406,81,0,0
2018-04-11,22569,33376,23297,11262,80,0,0
2018-04-12,16688,24528,17327,9768,75,0,0
2018-04-13,13873,20125,14311,7986,75,0,0
2018-04-14,13482,18419,13835,7957,65,0,0
2018-04-15,16003,22607,16643,9557,67,0,0
2018-04-16,15870,22296,16319,9604,71,0,0
2018-04-17,15965,21951,16287,9116,72,0,0
2018-04-18,29388,42159,30690,14956,97,0,0
2018-04-19,19914,27166,20472,12028,69,0,0
2018-04-20,19957,26827,21019,11067,61,0,0
2018-04-21,20366,26620,21546,10739,55,0,0
2018-04-22,17963,23655,18978,9778,58,0,0
2018-04-23,17698,24007,18486,9678,62,0,0
2018-04-24,16290,22103,17129,9129,72,0,0
2018-04-25,15499,21472,16376,8673,70,0,0
2018-04-26,16901,22733,17603,9258,70,0,0
2018-04-27,15228,20153,15462,8497,66,0,0
2018-04-28,15602,20754,16418,8740,61,0,0
2018-04-29,15171,19795,15706,7607,61,0,0
2018-04-30,19538,25173,20200,9680,67,0,0
2018-05-01,14258,19391,14711,8015,71,0,0
2018-05-02,14338,19817,14832,7805,79,0,0
2018-05-03,14110,18984,14569,7537,71,0,0
2018-05-04,11855,15934,12086,6997,72,0,0
2018-05-05,9660,13375,9982,5731,69,0,0
2018-05-06,9865,13604,10192,5890,78,0,0
2018-05-07,15197,20591,15712,7878,79,0,0
2018-05-08,13533,18736,14147,7977,79,0,0
2018-05-09,15412,20933,15880,7661,74,0,0
2018-05-10,16306,21462,16752,9593,66,0,0
2018-05-11,38857,52629,42948,26001,54,0,0
2018-05-12,14032,18952,14775,8307,64,0,0
2018-05-13,11393,15906,11895,6706,75,0,0
2018-05-14,13385,18954,13901,7557,78,0,0
2018-05-15,19229,30010,19921,8200,411,0,0
2018-05-16,15021,21813,15343,7419,313,0,0
2018-05-17,14457,20592,14677,7537,291,0,0
2018-05-18,13300,18406,13422,7317,253,0,0
2018-05-19,13694,17815,13609,6956,223,0,0
2018-05-20,13506,18618,13528,7365,247,0,0
2018-05-21,13825,19891,13898,7881,268,0,0
2018-05-22,13659,19572,13888,7746,267,0,0
2018-05-23,12272,17003,12205,6756,259,0,0
2018-05-24,11203,15844,11312,6552,274,0,0
2018-05-25,10547,14690,10476,6155,278,0,0
2018-05-26,10256,13473,9966,5729,254,0,0
2018-05-27,11040,15344,10927,6230,256,0,0
2018-05-28,10719,15365,10822,6315,288,0,0
2018-05-29,11735,17419,11870,6783,297,0,0
2018-05-30,14774,20555,14911,7695,274,0,0
2018-05-31,13053,17758,13211,6417,242,0,0
2018-06-01,11825,16289,11767,6072,265,0,0
2018-06-02,9932,13248,9881,5747,213,0,0
2018-06-03,9586,13226,9530,5468,254,0,0
2018-06-04,10093,14899,10245,5846,324,0,0
2018-06-05,10463,14842,10405,5965,279,0,0
2018-06-06,11449,15810,11504,6819,237,0,0
2018-06-07,10669,15170,10796,6249,255,0,0
2018-06-08,10215,14300,10250,5891,267,0,0
2018-06-09,21010,27986,21659,8835,279,0,0
2018-06-10,14918,20506,15207,7698,306,0,0
2018-06-11,22842,30176,23244,9366,264,0,0
2018-06-12,21508,28428,21829,8972,303,0,0
2018-06-13,12669,17162,12829,6623,264,0,0
2018-06-14,11022,15290,11037,6168,274,0,0
2018-06-15,10217,14019,10243,5958,250,0,0
2018-06-16,12887,17017,12796,5879,235,0,0
2018-06-17,16016,22000,16169,6785,226,0,0
2018-06-18,11613,16463,11690,6368,283,0,0
2018-06-19,6673,9858,6680,3683,276,0,0
2018-06-20,8828,13029,8899,4739,265,0,0
2018-06-21,15204,20501,15259,6945,212,0,0
2018-06-22,10595,14895,10683,5893,255,0,0
2018-06-23,9752,13361,9719,5500,257,0,0
2018-06-24,9781,13669,9712,5614,272,0,0
2018-06-25,10033,14251,9973,5690,266,0,0
2018-06-26,10997,15810,11090,6151,275,0,0
2018-06-27,10292,14653,10391,5697,277,0,0
2018-06-28,10581,14784,10542,6003,287,0,0
2018-06-29,10195,14621,10260,5853,300,0,0
2018-06-30,11166,14892,11289,5640,226,0,0
2018-07-01,67364,91866,70234,10304,213,0,0
2018-07-02,49869,69493,51147,11064,246,0,0
2018-07-03,20157,28519,20511,7924,311,0,0
2018-07-04,16373,23245,16712,6682,278,0,0
2018-07-05,30550,46992,30868,10400,285,0,0
2018-07-06,30732,46183,32035,10271,280,0,0
2018-07-07,16025,22846,16185,6955,298,0,0
2018-07-08,25783,35809,26316,9211,265,0,0
2018-07-09,23247,34600,24161,9302,355,0,0
2018-07-10,16213,23675,16309,7424,320,0,0
